Country;ISO2;Indicator;Unit;F1961;F1962;F1963;F1964;F1965;F1966;F1967;F1968;F1969;F1970;F1971;F1972;F1973;F1974;F1975;F1976;F1977;F1978;F1979;F1980;F1981;F1982;F1983;F1984;F1985;F1986;F1987;F1988;F1989;F1990;F1991;F1992;F1993;F1994;F1995;F1996;F1997;F1998;F1999;F2000;F2001;F2002;F2003;F2004;F2005;F2006;F2007;F2008;F2009;F2010;F2011;F2012;F2013;F2014;F2015;F2016;F2017;F2018;F2019;F2020;F2021;F2022
China, P.R.: Mainland;CN;Temperature change with respect to a baseline climatology, corresponding to the period 1951-1980;Degree Celsius;0.259;-0.141;0.289;-0.026;0.078;0.181;-0.282;-0.408;-0.211;-0.3;0.038;0.012;0.412;-0.008;0.278;-0.396;-0.057;0.242;0.299;0.251;0.219;0.379;0.122;-0.148;-0.127;-0.043;0.43;0.398;0.428;0.852;0.52;0.13;0.281;0.733;0.577;0.21;0.733;1.264;1.231;0.572;1.038;1.131;0.822;1.112;1.048;1.232;1.538;1.09;1.336;0.968;0.792;0.626;1.073;1.062;1.297;1.319;1.573;1.361;1.422;1.62;1.701;1.906
Colombia;CO;Temperature change with respect to a baseline climatology, corresponding to the period 1951-1980;Degree Celsius;0.09;-0.133;-0.058;0.117;-0.217;0.117;-0.274;-0.238;0.363;0.052;-0.431;-0.022;0.349;-0.306;-0.304;-0.24;0.214;0.109;0.191;0.446;0.129;0.192;0.636;-0.233;-0.015;0.017;0.573;0.312;-0.091;0.31;0.449;0.606;0.263;0.245;0.517;0.143;0.504;0.901;-0.01;-0.009;0.438;0.675;0.693;0.585;0.681;0.531;0.641;0.385;0.856;1.037;0.467;0.668;0.834;0.854;1.249;1.08;0.82;1.137;1.397;1.583;1.073;0.874
Comoros, Union of the;KM;Temperature change with respect to a baseline climatology, corresponding to the period 1951-1980;Degree Celsius;0.457;0.001;-0.248;-0.215;-0.334;0.059;0.154;-0.452;0.199;0.058;-0.545;-0.075;0.135;-0.375;-0.16;-0.071;0.448;0.184;0.165;0.198;0.082;0.53;0.356;-0.433;;0.001;0.455;0.461;-0.234;0.154;0.299;0.119;0.233;0.595;0.475;0.013;0.315;0.807;0.235;0.01;0.159;0.613;0.291;0.213;0.309;0.115;0.448;0.28;0.639;0.88;0.516;0.479;0.415;0.509;0.725;0.7;0.95;0.705;1.296;1.03;0.65;0.521
Congo, Dem. Rep. of the;CD;Temperature change with respect to a baseline climatology, corresponding to the period 1951-1980;Degree Celsius;-0.03;-0.172;-0.038;-0.112;-0.193;0.109;-0.119;-0.158;0.139;0.218;-0.141;0.074;0.458;-0.077;-0.103;-0.185;0.259;0.141;0.4;0.311;0.15;0.143;0.506;0.282;0.159;0.307;0.6;0.488;-0.144;0.082;0.293;-0.213;0.1;0.293;0.387;-0.077;0.627;0.937;0.455;0.537;0.393;0.872;0.961;0.913;1.014;0.844;0.768;0.664;0.928;1.347;0.844;0.523;1.003;0.976;1.053;1.546;1.32;1.45;1.483;1.692;1.658;1.48
Congo, Rep. of;CG;Temperature change with respect to a baseline climatology, corresponding to the period 1951-1980;Degree Celsius;-0.172;-0.053;0.12;-0.123;-0.179;0.102;-0.126;-0.11;0.118;0.159;-0.08;-0.052;0.493;-0.081;-0.125;-0.248;0.221;0.111;0.427;0.32;-0.189;-0.205;0.31;0.15;-0.195;0.013;0.354;0.211;-0.301;-0.014;0.144;-0.314;0.007;0.223;0.426;-0.058;;1.055;0.61;0.404;0.356;0.752;0.852;0.891;0.912;0.808;0.831;0.74;0.819;1.255;0.651;0.667;0.811;0.744;1.075;1.479;1.159;1.245;1.411;1.5;1.355;1.245
Cook Islands;CK;Temperature change with respect to a baseline climatology, corresponding to the period 1951-1980;Degree Celsius;0.148;-0.064;-0.099;0.163;-0.373;0.035;-0.352;-0.387;-0.009;0.249;-0.079;-0.03;0.508;-0.129;-0.167;-0.269;0.057;-0.006;-0.05;0.138;0.036;-0.061;0.06;-0.043;0.05;0.264;-0.021;0.34;0.13;0.19;0.197;0.21;-0.069;0.186;0.455;0.247;-0.108;-0.258;0.625;0.303;0.402;0.292;0.262;0.257;0.115;0.314;0.344;0.208;0.077;0.604;0.548;0.258;0.455;0.158;-0.43;0.31;0.675;0.238;0.22;0.274;0.568;0.479
Costa Rica;CR;Temperature change with respect to a baseline climatology, corresponding to the period 1951-1980;Degree Celsius;;;;;;;;;;;-0.549;0.135;0.163;-0.256;-0.398;0.187;0.296;0.175;0.213;0.425;0.189;0.604;1.052;0.035;-0.047;;0.658;0.119;0.067;0.591;0.582;0.498;0.308;0.514;0.633;-0.021;0.862;1.139;-0.174;-0.017;0.608;0.894;0.864;0.796;0.584;0.775;0.75;0.349;1.052;0.989;0.564;;;;;;;;;;;
Croatia, Rep. of;HR;Temperature change with respect to a baseline climatology, corresponding to the period 1951-1980;Degree Celsius;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;0.811;0.382;1.693;0.407;-0.055;0.285;1.127;0.676;1.601;1.57;1.233;1.244;0.633;0.253;0.68;1.938;1.416;1.454;0.821;1.22;1.809;1.232;2.004;1.895;1.807;1.523;2.282;2.082;1.989;1.582;2.209
Cuba;CU;Temperature change with respect to a baseline climatology, corresponding to the period 1951-1980;Degree Celsius;-0.084;-0.07;-0.127;0.102;0.023;-0.325;-0.234;-0.339;0.024;-0.349;0.067;0.433;0.403;0.087;0.528;-0.194;0.131;0.034;0.349;0.49;-0.016;0.591;0.303;0.287;0.235;0.357;0.736;0.603;0.68;0.836;0.899;0.608;0.639;1.016;1.222;0.627;1.031;1.191;0.806;0.508;0.535;0.945;1.089;0.872;0.787;0.914;0.902;0.642;0.93;0.957;0.538;0.611;0.885;1.144;1.439;1.37;1.275;1.177;1.634;1.722;1.304;1.437
Cyprus;CY;Temperature change with respect to a baseline climatology, corresponding to the period 1951-1980;Degree Celsius;0.039;0.789;0.691;-0.612;-0.208;0.637;-0.774;-0.031;0.165;0.495;-0.256;-0.625;-0.379;-0.177;-0.225;-0.713;0.15;-0.028;0.607;-0.295;0.088;-0.337;-0.805;0.013;-0.068;0.249;-0.26;0.044;0.085;0.069;0.379;-0.928;-0.421;1.047;0.058;0.253;0.008;0.961;1.079;0.618;1.161;0.836;0.585;0.614;0.335;0.622;0.814;1.031;0.983;2.03;0.715;0.97;1.238;1.048;1.139;1.493;0.776;2.119;1.524;1.668;1.994;1.237
